Date,Close
5/1/2017,155.35
5/2/2017,156.45
5/3/2017,155.59
5/4/2017,157.25
5/5/2017,156.6
5/8/2017,156.38
5/9/2017,157.46
5/10/2017,160.28
5/11/2017,158.54
5/12/2017,160.81
5/15/2017,160.02
5/16/2017,159.41
5/17/2017,153.2
5/18/2017,155.7
5/19/2017,157.02
5/22/2017,157.16
5/23/2017,157.95
5/24/2017,157.75
5/25/2017,163.05
5/26/2017,162.43
5/30/2017,163.22
5/31/2017,163.07
6/1/2017,162.99
6/2/2017,165.18
6/5/2017,165.06
6/6/2017,165.17
6/7/2017,165.61
6/8/2017,165.88
6/9/2017,158.03
6/12/2017,151.44
6/13/2017,152.72
6/14/2017,152.2
6/15/2017,151.76
6/16/2017,152.38
6/19/2017,153.4
6/20/2017,152.05
6/21/2017,155.03
6/22/2017,154.89
6/23/2017,158.02
6/26/2017,157.5
6/27/2017,151.03
6/28/2017,153.41
6/29/2017,150.09
6/30/2017,149.41
7/3/2017,146.17
7/5/2017,147.61
7/6/2017,146.25
7/7/2017,150.18
7/10/2017,152.67
7/11/2017,154.33
7/12/2017,158.75
7/13/2017,158.21
7/14/2017,161.12
7/17/2017,161.7
7/18/2017,183.6
7/19/2017,183.86
7/20/2017,183.6
7/21/2017,188.54
7/24/2017,187.91
7/25/2017,186.97
7/26/2017,189.08
7/27/2017,182.68
7/28/2017,184.04
7/31/2017,181.66
8/1/2017,182.03
8/2/2017,180.74
8/3/2017,179.23
8/4/2017,180.27
8/7/2017,181.33
8/8/2017,178.36
8/9/2017,175.78
8/10/2017,169.14
8/11/2017,171.4
8/14/2017,171
8/15/2017,168.5
8/16/2017,169.98
8/17/2017,166.09
8/18/2017,166.54
8/21/2017,166.76
8/22/2017,169.34
8/23/2017,169.06
8/24/2017,168.13
8/25/2017,165.95
8/28/2017,167.12
8/29/2017,168.81
8/30/2017,174.69
8/31/2017,174.71
9/1/2017,174.74
9/5/2017,174.52
9/6/2017,179.25
9/7/2017,179
9/8/2017,176.42
9/11/2017,181.74
9/12/2017,185.15
9/13/2017,183.64
9/14/2017,182.63
9/15/2017,182.35
9/18/2017,184.62
9/19/2017,185.68
9/20/2017,185.51
9/21/2017,188.78
9/22/2017,187.35
9/25/2017,178.55
9/26/2017,179.38
9/27/2017,181.97
9/28/2017,180.7
9/29/2017,181.35
10/2/2017,177.01
10/3/2017,179.19
10/4/2017,184.45
10/5/2017,194.39
10/6/2017,198.02
10/9/2017,196.87
10/10/2017,195.08
10/11/2017,194.95
10/12/2017,195.86
10/13/2017,199.49
10/16/2017,202.68
10/17/2017,199.48
10/18/2017,195.54
10/19/2017,195.13
10/20/2017,194.16
10/23/2017,192.47
10/24/2017,196.02
10/25/2017,193.77
10/26/2017,195.21
10/27/2017,199.54
10/30/2017,198.37
10/31/2017,196.43
11/1/2017,198
11/2/2017,199.32
11/3/2017,200.01
11/6/2017,200.13
11/7/2017,195.89
11/8/2017,196.44
11/9/2017,193.9
11/10/2017,192.02
11/13/2017,195.08
11/14/2017,195.71
11/15/2017,192.12
11/16/2017,195.51
11/17/2017,193.2
11/20/2017,194.1
11/21/2017,196.23
11/22/2017,196.32
11/24/2017,195.75
11/27/2017,195.05
11/28/2017,199.18
11/29/2017,188.15
11/30/2017,187.58
12/1/2017,186.82
12/4/2017,184.04
12/5/2017,184.21
12/6/2017,185.3
12/7/2017,185.2
12/8/2017,188.54
12/11/2017,186.22
12/12/2017,185.73
12/13/2017,187.86
12/14/2017,189.56
12/15/2017,190.12
12/18/2017,190.42
12/19/2017,187.02
12/20/2017,188.82
12/21/2017,188.62
12/22/2017,189.94
12/26/2017,187.76
12/27/2017,186.24
12/28/2017,192.71
12/29/2017,191.96
1/2/2018,201.07
1/3/2018,205.05
1/4/2018,205.63
1/5/2018,209.99
1/8/2018,212.05
1/9/2018,209.31
1/10/2018,212.52
1/11/2018,217.24
1/12/2018,221.23
1/16/2018,221.53
1/17/2018,217.5
1/18/2018,220.33
1/19/2018,220.46
1/22/2018,227.58
1/23/2018,250.29
1/24/2018,261.3
1/25/2018,269.7
1/26/2018,274.6
1/29/2018,284.59
1/30/2018,278.8
1/31/2018,270.3
2/1/2018,265.07
2/2/2018,267.43
2/5/2018,254.26
2/6/2018,265.72
2/7/2018,264.56
2/8/2018,250.1
2/9/2018,249.47
2/12/2018,257.95
2/13/2018,258.27
2/14/2018,266
2/15/2018,280.27
2/16/2018,278.52
2/20/2018,278.55
2/21/2018,281.04
2/22/2018,278.14
2/23/2018,285.93
2/26/2018,294.16
2/27/2018,290.61
2/28/2018,291.38
3/1/2018,290.39
3/2/2018,301.05
3/5/2018,315
